Phage Name,Zipcode,Population Density,County,pH,Waterquality,GHI,Dew Point,Albedo,Latitude,Longitude,AQI,PM25,PM10,CO_8H,NO2_1H,SO3_1H
FoxtrotP1,66045,6252.0,Douglas County,7.803009875575866,"Stable, normal stage",184.92248858447488,7.227899543378996,0.17876712328770053,38.958333,-95.248889,24.0,5.7,25.0,2.1,25.0,16.0
Francis47,30064,1446.0,Cobb County,7.801201398899613,Falling stage,196.2422374429224,10.393378995433787,0.13065753424655654,33.9127,-84.6135,51.0,12.1,55.0,4.5,54.0,36.0
Frankie,34953,2584.0,St. Lucie County,7.800535851380267,,211.9668949771689,19.060045662100453,0.15991780821918986,27.232066999999997,-80.380926,18.0,4.3,19.0,1.5,19.0,12.0
Franzy,15213,14474.0,Allegheny County,7.800456890107088,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.448056,-79.956389,35.0,8.4,37.0,3.0,37.0,24.0
FrayBell,28301,1398.0,,7.800258895034237,,193.33778538812786,11.156963470319637,0.14358904109587306,35.071889,-78.89330600000001,53.0,13.0,59.0,4.7,55.0,37.0
Fred313,48051,1150.0,Macomb County,7.800340864432559,"Stable, normal stage",162.90285388127853,4.368493150684931,0.3455890410958892,42.694091,-82.793757,41.0,9.8,44.0,3.6,43.0,28.0
FreddieHg,19104,17232.0,Philadelphia County,7.800155276439398,Not determined,174.26518264840183,7.510844748858447,0.13728767123286073,39.945009999999996,-75.20845,67.0,19.7,87.0,6.1,69.0,48.0
Frederick,23220,7400.0,,7.798721590690284,,183.61735159817349,9.038584474885845,0.1313972602739557,37.545955,-77.45392199999999,24.0,5.7,25.0,2.1,25.0,16.0
FrenchFry,47906,494.0,Tippecanoe County,7.798728589341754,,174.5735159817351,6.440639269406392,0.25230136986303936,40.47,-86.93,12.0,2.8,12.0,1.0,12.0,8.0
FriarPreacher,20417,,Loudoun County,7.7983344647502575,Not applicable,178.2376712328767,7.3294520547945226,0.2012328767123428,39.072875,-77.466158,45.0,10.8,48.0,3.9,47.0,31.0
Fringe,04473,427.0,Penobscot County,7.798269607903506,,158.55593607305937,3.4551369863013703,0.3524383561643947,44.882969,-68.672299,25.0,6.0,27.0,2.2,26.0,17.0
FrodoSwaggins,76201,4857.0,Denton County,7.799550733385828,"Stable, normal stage",208.52066210045663,10.775228310502284,0.16802739726028745,33.230003,-97.150249,42.0,10.0,45.0,3.6,44.0,29.0
Frokostdame,04938,80.0,Franklin County,,,160.95582191780818,2.773744292237444,0.4035616438355933,44.654722,-70.139444,21.0,5.0,22.0,1.8,22.0,14.0
Fruitloop,15650,381.0,Westmoreland County,7.7698659806640435,,164.86369863013698,5.48310502283105,0.28589041095895834,40.277643,-79.37729399999999,36.0,8.6,38.0,3.1,38.0,25.0
Fryberger,15213,14474.0,Allegheny County,7.799384445072219,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.445949,-79.953313,35.0,8.4,37.0,3.0,37.0,24.0
FudgeTart,68333,72.0,Saline County,7.800373780669639,,183.8195205479452,5.0382420091324205,0.2494246575342807,40.622,-96.948,21.0,5.0,22.0,1.8,22.0,14.0
FugateOSU,43210,6102.0,Franklin County,7.800383626559646,Falling stage,171.3874429223744,6.369520547945205,0.2559452054794956,40.0013,-83.01299999999999,13.0,3.1,14.0,1.1,13.0,9.0
Fugax,,,Kent County,7.800388432247673,,165.19406392694063,4.544634703196347,0.30394520547947024,42.929521,-85.588677,26.0,6.2,28.0,2.2,27.0,18.0
Fulbright,73083,,Oklahoma County,7.800480891882207,"Stable, normal stage",203.51529680365292,8.183333333333334,0.1680821917808305,35.658889,-97.47444399999999,60.0,16.3,73.0,5.4,62.0,43.0
Funston,06106,9436.0,Hartford County,7.800365980248211,"Stable, normal stage",168.72705479452054,5.6625570776255705,0.2178904109589068,41.744617,-72.691836,31.0,7.4,33.0,2.7,32.0,21.0
Fury,32561,670.0,Escambia County,7.799855007906477,,211.68858447488583,16.589954337899538,0.0386301369862987,30.3228,-87.1227,23.0,5.5,24.0,2.0,24.0,16.0
Fushigi,63105,6647.0,Saint Louis County,7.800087434750222,Falling stage,181.73047945205482,7.855136986301369,0.16241095890411614,38.645639,-90.311389,38.0,9.1,41.0,3.3,40.0,26.0
FuzzBuster,28723,101.0,Jackson County,7.79989298061121,,191.1958904109589,7.831621004566211,0.1527397260273686,35.3025,-83.18333299999999,26.0,6.2,28.0,2.2,27.0,18.0
GUmbie,99258,,Spokane County,7.797119037954705,"Stable, normal stage",160.9194063926941,1.7452054794520548,0.29493150684927943,47.6679,-117.4005,13.0,3.1,14.0,1.1,13.0,9.0
Gabriel,02918,,,7.799739116128127,"Stable, normal stage",170.22454337899543,5.75115296803653,0.19347945205478892,41.843514,-71.438664,50.0,12.0,54.0,4.4,53.0,35.0
Gabriela,15262,,Allegheny County,7.815116019141449,"Stable, normal stage",166.06221461187215,6.1813470319634725,0.20728767123284966,40.4406,-79.9959,35.0,8.4,37.0,3.0,37.0,24.0
Gadost,08540-6515,,Mercer County,7.798783830227108,,175.8837899543379,7.003424657534247,0.19104109589041726,40.341923,-74.647894,47.0,11.2,50.0,4.1,49.0,32.0
GaeCeo,19014,2357.0,Delaware County,7.79859427242084,Not applicable,178.57899543378994,7.31689497716895,0.18849315068493624,39.871102,-75.436438,45.0,10.8,48.0,3.9,47.0,31.0
Gaea,66045,6252.0,Douglas County,7.798811897952661,Falling stage,184.92248858447488,7.227899543378996,0.17876712328770053,38.9609,-95.2487,24.0,5.7,25.0,2.1,25.0,16.0
Gage,04658,56.0,Washington County,,,159.21175799086757,4.164497716894977,0.2743835616437935,44.555822,-67.86397099999999,33.0,7.9,35.0,2.9,34.0,23.0
GageAP,59601,212.0,Lewis and Clark County,7.798299523205137,"Stable, normal stage",163.61198630136983,-1.8009132420091325,0.3710684931506966,46.6002,-112.054,15.0,3.6,16.0,1.3,15.0,10.0
Gaia,15213,14474.0,Allegheny County,7.7982328792057745,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.446389,-79.9575,35.0,8.4,37.0,3.0,37.0,24.0
Gail,49418,1449.0,Ottawa County,7.798464734517472,"Stable, low stage",165.03881278538813,4.165182648401826,0.3648219178082096,42.89,-85.79,26.0,6.2,28.0,2.2,27.0,18.0
Galactic,28723,101.0,Jackson County,7.7983498236029405,,191.1958904109589,7.831621004566211,0.1527397260273686,35.2919,-83.18658,26.0,6.2,28.0,2.2,27.0,18.0
Galadriel,15260,,Allegheny County,7.798305673828888,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.445194,-79.95344399999999,35.0,8.4,37.0,3.0,37.0,24.0
Galaxy,16037,132.0,Butler County,7.79834585054618,"Stable, normal stage",163.03858447488585,5.9219178082191775,0.28383561643841304,40.808557,-80.106899,31.0,7.4,33.0,2.7,32.0,21.0
Gambino,15213,14474.0,Allegheny County,7.744549763418035,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.44,-79.96,35.0,8.4,37.0,3.0,37.0,24.0
Gancho,80027,1598.0,Boulder County,7.79978902340047,"Stable, normal stage",193.45,-1.4780821917808218,0.2845753424657956,39.98,-105.13,31.0,7.4,33.0,2.7,32.0,21.0
