Phage Name,Latitude,Longitude,Zipcode,Population Density,County,pH,Waterquality,GHI,Dew Point,Albedo,AQI,PM25,PM10,CO_8H,NO2_1H,SO3_1H
Soshi,32.967553,-97.267263,87248,,Tarrant County,,,212.6533105022831,10.72102739726026,0.18421917808222812,42.0,10.0,45.0,3.6,44.0,29.0
Soto,33.97,-118.418,90293,4235.0,Los Angeles County,7.792374879084878,Not applicable,226.6761415525114,9.144497716894966,0.13813698630138324,59.0,15.9,71.0,5.3,61.0,42.0
Sotrice96,33.57897,-83.97762,30016,558.0,Newton County,,,198.7823059360731,10.97716894977169,0.13643835616436045,34.0,8.1,36.0,2.9,36.0,23.0
Soul22,,,,,,,,166.31187214611873,5.339726027397258,0.30216438356158737,27.0,6.4,29.0,2.3,28.0,18.0
Soups,40.447747,-79.942986,15232-2131,,Allegheny County,,,165.3197488584475,6.24406392694064,0.21063013698629074,38.0,9.1,41.0,3.3,40.0,26.0
Sour,40.441602,-79.95028,15213,14474.0,Allegheny County,,,165.3197488584475,6.24406392694064,0.21063013698629074,38.0,9.1,41.0,3.3,40.0,26.0
SparkleGoddess,33.21179,-97.152345,76203,,Denton County,,,208.52066210045663,10.775228310502284,0.16802739726028745,42.0,10.0,45.0,3.6,44.0,29.0
Sparky,44.562919,-123.274203,97331,7464.0,Benton County,,,162.08082191780818,7.070696347031963,0.15890410958901807,28.0,6.7,30.0,2.4,29.0,19.0
Spartan300,40.558055,-74.876111,08822,476.0,Hunterdon County,,,173.15764840182652,6.6883561643835625,0.22419178082194616,43.0,10.3,46.0,3.7,45.0,30.0
Spartoi,39.945132,-75.207988,19104,17232.0,Philadelphia County,,,174.26518264840183,7.510844748858447,0.13728767123286073,65.0,18.7,83.0,5.9,67.0,47.0
Specks,29.9639,-90.1071,70135,,Orleans Parish,7.788362531938923,"Stable, high stage",207.50810502283105,16.532305936073058,0.14490410958905015,19.0,4.5,20.0,1.6,20.0,13.0
Spectropatronm,33.085432,-97.302528,76247,182.0,Denton County,,,208.3074200913242,10.822831050228311,0.1689589041096039,42.0,10.0,45.0,3.6,44.0,29.0
SpeedDemon,,,,,,,,168.29908675799086,5.169292237442923,0.23098630136988954,6.0,1.4,6.0,0.5,6.0,4.0
Spike509,47.667918,-117.404191,99258,,Spokane County,,,160.9194063926941,1.7452054794520548,0.29493150684927943,12.0,2.8,12.0,1.0,12.0,8.0
SpikeBT,42.61883,-87.82119,53140,3473.0,Kenosha County,,,166.74212328767123,4.8859589041095886,0.2167945205478883,32.0,7.6,34.0,2.8,33.0,22.0
Spikelee,41.04,-73.95,10962,1015.0,Rockland County,,,169.68162100456618,6.5220319634703205,0.21528767123286696,11.0,2.6,11.0,0.9,11.0,7.0
Splinter,79.954301,40.44691,,,,,,,,,,,,,,
Spock,38.240278,-85.759167,40203,6696.0,Jefferson County,,,176.79931506849312,8.481278538812786,0.15830136986299434,51.0,12.1,55.0,4.5,54.0,36.0
SpongeBob,34.222211,-118.196389,91011,1711.0,Los Angeles County,,,224.3352739726028,5.277397260273973,0.12060273972602753,59.0,15.9,71.0,5.3,61.0,42.0
Spooky,40.4429,-79.9524,15213,14474.0,Allegheny County,,,165.3197488584475,6.24406392694064,0.21063013698629074,38.0,9.1,41.0,3.3,40.0,26.0
Spoonbill,38.635526,-90.287562,63110,2732.0,,,,181.73047945205482,7.855136986301369,0.16241095890411614,45.0,10.8,48.0,3.9,47.0,31.0
Sporto,40.444859,-79.952833,15213,14474.0,Allegheny County,7.795556492807366,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,38.0,9.1,41.0,3.3,40.0,26.0
Sprinklers,40.0076,-105.2659,80309,,Boulder County,,,186.02214611872142,-2.0170662100456624,0.2716712328767645,31.0,7.4,33.0,2.7,32.0,21.0
Sproutie,40.44222,-79.95611,15213,14474.0,Allegheny County,,,165.3197488584475,6.24406392694064,0.21063013698629074,38.0,9.1,41.0,3.3,40.0,26.0
Spud,40.44422,-79.953218,15260,,Allegheny County,7.796049722495116,"Stable, high stage",165.3197488584475,6.24406392694064,0.21063013698629074,38.0,9.1,41.0,3.3,40.0,26.0
Sputnik,40.9046,-75.3863,18353,271.0,Monroe County,7.7955433666325655,Not applicable,168.2942922374429,5.228196347031964,0.2135342465753796,41.0,9.8,44.0,3.6,43.0,28.0
Squash,40.4342,-79.9614,15213,14474.0,Allegheny County,,,166.06221461187215,6.1813470319634725,0.20728767123284966,38.0,9.1,41.0,3.3,40.0,26.0
SqueakyClean,33.196647,-97.114939,76205,2188.0,Denton County,,,204.9692922374429,10.804680365296807,0.1593424657534401,42.0,10.0,45.0,3.6,44.0,29.0
Squid,42.624479,-87.82042,53140,3473.0,Kenosha County,,,166.74212328767123,4.8859589041095886,0.2167945205478883,32.0,7.6,34.0,2.8,33.0,22.0
Squiddly,40.43,-79.94,15207,2350.0,Allegheny County,,,165.3197488584475,6.24406392694064,0.21063013698629074,38.0,9.1,41.0,3.3,40.0,26.0
Squiggle,36.98112,-86.45653100000001,42101,197.0,Warren County,,,181.31529680365296,9.667157534246572,0.16150684931508502,40.0,9.6,43.0,3.5,42.0,28.0
Squint,40.732306,-89.016778,61738,53.0,Woodford County,,,179.08881278538811,5.982305936073059,0.2649863013698901,30.0,7.2,32.0,2.6,31.0,21.0
Squirty,42.19,-83.5,48111,627.0,Wayne County,,,164.34189497716895,5.197499999999998,0.3066575342465861,33.0,7.9,35.0,2.9,34.0,23.0
StAB,33.543682000000004,-86.77963299999998,35234,1772.0,Jefferson County,7.799989594174307,,196.86780821917807,11.498744292237447,0.13854794520548586,54.0,13.5,61.0,4.8,56.0,38.0
